Section,Nominal Size [mm],w [kg/m],d [mm],bf [mm],tw [mm],tf [mm],r [mm],A [cm2],Ix [cm4],Iy [cm4],rx [cm],ry [cm],Sx [cm3],Sy [cm3],Zx [cm3],Zy [cm3],h/tw,0.5bf/tf,ho [mm],j [cm4],cw [10^6 cm6],rts [cm6],Lp [cm],Lr [cm]
W-*300x300x9x14 (87 kg/m),*300x300,87,298,299,9,14,18,110.8,18800,6240,13,7.51,1270,417,1352.85,631.27,26,10.68,284,61.6,1.26,8.35,377.65,1276.51
W-300x300x10x15 (94 kg/m),300x300,94,300,300,10,15,18,119.8,20400,6750,13.1,7.51,1360,450,1464.75,681.75,23.4,10,285,77,1.37,8.41,377.65,1348.62
W-*300x300x15x15 (106 kg/m),*300x300,106,300,305,15,15,18,134.8,21500,7100,12.6,7.26,1440,466,1577.25,712.88,15.6,10.17,285,100.69,1.44,8.38,365.07,1447.73
W-*300x300x11x17 (106 kg/m),*300x300,106,304,301,11,17,18,134.8,23400,7730,13.2,7.57,1540,514,1669.05,778.28,21.27,8.85,287,111.32,1.59,8.49,380.66,1480.24
W-V350x175x6x9 (41.4 kg/m),V350x175,41.4,346,174,6,9,14,52.68,11100,792,14.5,3.88,641,91,689.12,139.19,50,9.67,337,10.88,0.22,4.56,195.11,548.02
W-350x175x7x11 (49.6 kg/m),350x175,49.6,350,175,7,11,14,63.14,13600,984,14.7,3.95,775,112,840.85,172.46,42.86,7.95,339,19.4,0.28,4.64,198.63,586.16
W-*350x175x8x13 (57.8 kg/m),*350x175,57.8,354,176,8,13,14,73.68,16100,1180,14.8,4.01,909,134,995.38,206.59,37.5,6.77,341,31.6,0.34,4.7,201.65,630.29
W-*350x250x8x12 (69.2 kg/m),*350x250,69.2,336,249,8,12,20,88.15,18500,3090,14.5,5.92,1100,248,1162.8,377,34,10.38,324,34.21,0.81,6.75,297.69,892.84
W-350x250x9x14 (79.7 kg/m),350x250,79.7,340,250,9,14,20,101.5,21700,3650,14.6,6,1280,292,1360.02,443.82,30.22,8.93,326,53.66,0.97,6.82,301.71,963.17
W-*350x350x13x13 (106 kg/m),*350x350,106,338,351,13,13,20,135.3,28200,9380,14.4,8.33,1670,534,1799.34,813.99,20.92,13.5,325,75.21,2.48,9.55,418.88,1375.89
